	batch4.sig126	batch4.sig127N	batch4.sig127C	batch4.sig128N	batch4.sig128C	batch4.sig129N	batch4.sig129C	batch4.sig130N	batch4.sig130C	batch4.sig131N	batch4.sig131C	batch5.sig126	batch5.sig127N	batch5.sig127C	batch5.sig128N	batch5.sig128C	batch5.sig129N	batch5.sig129C	batch5.sig130N	batch5.sig130C	batch5.sig131N	batch5.sig131C
sp|P00159|CYB_RAT	123429.282496513	114856.234750314	106388.660644989	103072.944517029	97686.1297493423	103492.524027266	129313.059695932	117990.349148199	100175.329667614	95459.1515324731	98744.9382118903	90410.4217220079	97728.4881470394	79944.9325519964	113182.120316328	68357.4732349569	69635.6549409125	78265.5342007446	76523.935854389	66794.1068867744	74327.9370333131	72566.0559244634
tr|F1LQC5|F1LQC5_RAT	251475.033423046	250283.847017406	243736.252546833	240683.346928668	235848.677102826	238838.205228586	231690.772907759	243226.341987495	226375.765999287	238481.456072053	232397.540514272	199313.240667802	199799.430770435	206953.487403098	198276.8667579	208998.522986557	199177.552568202	210507.722277757	198539.321519161	196019.792821287	191198.620348007	212185.223510122
sp|O08590|AOC3_RAT	133103.668715639	154679.617630416	149411.210655042	135405.060071713	136727.915249963	153635.559508223	120383.359214521	101892.571183966	151845.923591038	161894.983916592	150549.81107698	139526.337452854	147342.127735007	142300.360536209	150788.044236858	147410.197749526	138674.414478234	129883.417398907	147523.985408823	139332.901443716	170018.753036335	144573.379246111
sp|Q8CJB9|BRE1B_RAT	186116.923976101	179028.202639961	186208.878699914	187677.118893657	180978.785033169	191282.876710706	191486.593156175	173827.261461238	181126.715216128	180627.683720854	189115.136711546	193975.013676209	190582.05313765	184521.890308188	178733.991190759	177473.850988504	193061.096305211	182465.611136451	192922.481741923	195623.23781667	186925.427632309	190040.834457299
tr|D3ZNI9|D3ZNI9_RAT	129813.28978467	131129.885174968	129689.61362725	122178.277662926	142526.941088869	138142.237597139	137962.664181215	135301.216262118	138281.975808663	133759.855545944	134473.291666704	108901.176283044	110789.612929163	108826.222611418	114256.16378482	108651.307669013	118722.059331529	114935.689387863	112343.465747405	117767.080654917	105197.320408665	108627.206939683
tr|Q5XIL4|Q5XIL4_RAT	100548.258257913	112648.246150088	109890.531384126	108776.116016938	116145.591111623	120979.004072714	102185.325148578	109895.105497507	114437.709718747	128799.079233884	111520.768107152	101339.156003415	106907.299926547	115956.761041909	112206.135618785	108112.280151887	95372.9054101333	105253.388141748	115336.683248776	105061.04052986	112230.752629336	106607.171635348
sp|P31016|DLG4_RAT	1875405.31341176	1954396.18604792	1807414.24303042	1920101.78733898	2010123.62271478	1935495.75582709	1873591.25867696	1989684.59257215	1936510.76028647	2008358.98431792	1933109.03746736	1901214.79859876	1972805.44971217	2000343.7654928	1982631.12452132	1888213.62477956	2015981.12103157	1969884.4420553	1955930.8203809	1974391.96793719	1998796.35068226	1920575.62705307
tr|A0A096MKH2|A0A096MKH2_RAT	909780.644345292	930878.935929317	914365.283308864	835516.004556145	856909.754344912	894817.436877118	996332.274193789	847729.517611826	920009.520803056	882938.886787402	901439.428043444	500568.905173327	481790.785382313	476332.566927508	484224.94487003	482984.389494999	498515.097114379	493613.225908854	486191.774932693	494090.970959971	494726.435922961	468359.307965612
tr|D3ZJB7|D3ZJB7_RAT	46620.7989895697	40672.1724689448	43136.128605735	53915.5279256785	58140.3931931039	55112.7621334107	61825.5544631685	63797.6305462786	62229.1079552161	68468.237045073	48943.3867564864	36520.1328297455	37985.9380521784	46595.8024783838	43120.9451970392	40270.7795788274	39396.9318180313	41110.3079889774	44440.5954693183	35954.2489606854	41547.8576609066	43868.5380188695
sp|Q64542|AT2B4_RAT	5125268.32051237	4732322.72198159	4619377.49662975	4527915.79449319	5339428.6338313	5290842.45127198	4730341.13070494	4944143.35112599	4866433.52708954	4894296.31777517	4799609.97930536	3040450.0212354	3077149.87077686	3231965.6978508	3068694.86580553	2985348.87265184	3172034.77125508	3317319.60370419	2855428.95645465	3050629.6149224	2927317.10106082	3166232.94843916
sp|Q4FZU8|RIPR1_RAT	187485.057668162	184630.418717777	205088.854125426	183782.735147283	193293.43381124	202145.413308646	158228.2757337	214440.881141681	202392.756305523	192667.701132743	192744.640017552	173446.315885162	167194.436538763	174240.968050127	169283.264938854	173057.775703367	153181.266252182	172813.44667886	170586.783070419	163295.378647224	160572.331986078	170040.344133999
tr|B4F7A5|B4F7A5_RAT	222491.102177338	221739.469779876	244551.611343997	248112.402290894	227282.927215025	233142.386156268	265302.016061247	203558.85310698	224987.86679803	231968.001819453	243355.32891397	310529.715365539	296577.084946274	322217.533807544	338775.217898472	341212.758988961	378654.097217722	333363.089033656	399508.900398819	417272.379859765	383897.338283386	352545.145959031
sp|Q9WVS9|CLOCK_RAT	103091.231709394	99646.6839660063	104534.80090256	96950.9170081656	85737.4429330997	97003.9706240031	89627.2843820422	83168.6742943699	86357.9267289222	94534.9129471181	86974.0770097007	104945.85244944	86874.4143502252	98879.6984369761	101336.010147603	110268.821915864	104793.526203567	88188.9279154569	94233.583310316	117740.005582226	114932.401607672	102152.973951564
sp|Q63965|SFXN1_RAT	946392.099618606	953520.285381016	979706.256053004	1003468.60300942	970861.422541036	1037663.06017346	864122.13767289	790602.842089077	944336.345939441	880557.906830771	904168.865614661	678024.010174398	725880.124081574	668386.383289522	744798.726631754	669968.221233404	744322.436400595	726403.652281464	678946.291625336	687823.73100893	621690.915005209	693042.158528617
sp|Q6AZ28|PIAS2_RAT	21262.2627388732	19068.0334970685	18574.5432847489	19364.5217633623	19924.6296563402	20342.8522747909	15226.9281974514	16330.2424578055	19701.9340986401	15421.7571031752	17440.7924600451	34387.0600568458	30264.0730821396	29873.2163119791	32470.8397690286	30935.1634107255	31657.1650837975	29012.1671416698	33106.6050123653	29237.6418855972	28364.7802173709	34066.0710200399
tr|M0R6L2|M0R6L2_RAT	105500.854018832	133070.021987294	109833.438282446	143184.129430972	107350.825763622	131014.060464909	113474.357822316	106095.44326106	112341.381619717	112861.146581767	111689.290013758	116633.796947947	96077.0882265544	90570.18999873	87014.7577265885	108725.204798931	93419.302187227	87981.0228514105	97111.7977645439	82955.5540050696	107343.482260526	103654.403094311
sp|P12841|FOS_RAT	22032.2103232097	22032.2103232097	22032.2103232097	22032.2103232097	22032.2103232097	22032.2103232097	22032.2103232097	22032.2103232097	22032.2103232097	22032.2103232097	22032.2103232097	17222.0195785042	19200.002291859	25652.2991594871	20535.9587295413	22632.2380542303	22718.3716401927	23890.9393529985	23270.0848548665	23932.5632261416	22185.7592289395	22448.8753346851
sp|P0C548|PLPL2_RAT	21703.4589642491	22241.6394707613	23454.4508783006	25002.628594999	23339.1436087185	26161.3407103345	25502.3975333161	31018.6235627444	25880.6616683636	23361.4950162193	22294.2997376897	23864.778609849	22431.6401693413	23973.9359513372	28665.2636367706	26004.8864397473	24619.6635277339	25093.4068052195	27790.315179922	27378.0865480004	26739.2596853384	24628.4083800652
tr|F1M863|F1M863_RAT	403686.685690164	394691.909645901	421637.470602845	418277.023014114	409830.943264704	420658.630292027	349937.12156856	405640.299760017	390092.212220223	391683.91667764	399695.403065679	568659.152092722	580059.688504423	537141.420101124	554825.936947769	556667.49388372	502180.134436196	558180.07871836	571367.638012192	531394.335154809	492338.904540431	562583.09031162
sp|Q6AY97|CCD91_RAT	166886.661353849	183293.600381509	180835.185654856	181123.947290556	172969.498352211	172333.579570431	203397.995700087	168512.312751022	178554.421416625	180771.487952097	190467.25873758	292545.078749067	293214.465928328	317425.912088702	331179.026459415	303266.379962336	341231.57018664	288855.424190746	325861.389182543	317304.193564489	317948.497781864	287506.719520608
tr|D3ZVY6|D3ZVY6_RAT	1006872.03728977	933620.561162035	1040987.41419685	939145.826809174	746887.59598348	737532.541837673	1009212.2664978	885016.610753783	659532.004331988	656984.608346792	872094.696064615	351596.043675043	341030.859536709	345464.847050757	325894.403253132	309350.634301995	332651.709507275	330813.80797824	317859.345960608	326843.265638778	309441.012304388	315103.078836478
tr|Q68FS8|Q68FS8_RAT	414633.757297131	419573.406067864	481867.127821597	410001.412123553	374754.396547445	411868.738688445	410858.688938115	506292.271216079	447080.252386377	464227.154262115	443304.122483087	433051.779949505	479950.971358112	420881.007475323	447155.047284438	473403.012711967	374515.299993266	394071.212485274	469213.696335757	419442.840698686	361763.793104505	433225.738910766
sp|Q27W02|MGN_RAT	169393.717890242	160201.508130593	194015.482246163	188139.68624616	140178.159231886	144859.744613106	179333.813156849	173785.885083555	141347.963048479	148076.700624088	172353.342289335	171137.185061365	177083.78604993	167954.738395103	149875.688387353	149455.832476487	178401.807157663	161907.236418067	171163.198524012	180649.88187064	162851.402946918	162113.663401368
tr|D3ZW19|D3ZW19_RAT	18268.7187252504	16167.5062524384	18355.1514621385	22299.3816376847	20637.6151684171	19015.101258961	19458.5923454935	18503.2081028322	16804.1536588969	17500.2475691747	19106.0640933964	31945.5803949243	32255.6389395755	29328.1170684213	27111.2613478562	35200.7426794231	33304.8836855248	42263.7129683995	45114.6270129989	36573.8382027766	31140.1009348168	36023.5516625968
tr|D3ZP93|D3ZP93_RAT	25742.2053483998	25742.2053483998	25742.2053483998	25742.2053483998	25742.2053483998	25742.2053483998	25742.2053483998	25742.2053483998	25742.2053483998	25742.2053483998	25742.2053483998	28187.2744323133	29403.9150485859	29639.5768554632	28966.8803588338	23833.8711944708	22111.7507358305	23872.1238365022	28737.3230527113	25784.6696652566	20136.7090790115	24613.82398193
cu|21604_4324|cu	3838070.42490016	3727984.28369245	4117722.73456513	3501678.83986926	3916762.00566597	4033408.32245948	3829995.86828372	4132986.59507781	4186890.37520349	3486499.46556059	3923638.39097165	3403360.83474428	3351529.03297228	3236883.04528116	3150642.50853157	3457424.63533679	3050151.28244348	3328804.20292398	3259973.31374308	2988849.1486671	2821348.73200639	3060549.64047981
sp|Q6AYR6|HDHD2_RAT	464975.126191116	486023.15232182	527787.766182927	520534.818445445	687357.813253921	716374.687975753	707325.436041366	627441.96180661	537468.03730941	541640.768146274	592222.454186903	613042.030936359	641137.78726317	641879.536367644	624419.145456715	859807.051855202	872424.128046341	649040.951457766	680515.58942634	698276.294031754	710652.087798673	741161.824665187
sp|Q04589|FGFR1_RAT	97878.2880379155	103339.158550631	96859.2512908027	99149.1825960446	97880.5821720074	102340.14446533	88219.0597688573	91913.2336990603	103501.56331809	105868.733595246	95239.5268253716	89768.063751771	90914.3894168361	97350.4575358581	95685.4163766838	91891.0688200093	79997.4262690305	89354.2429952525	98495.2659827178	88426.3665499937	91105.4226183278	97263.7141826883
sp|P81128|RHG35_RAT	741176.335005511	747386.880748154	761198.688822343	782886.147181362	773724.427617168	763228.04565339	627577.931411454	772869.52059959	766307.489439087	740686.592658158	742246.658255835	508591.327332478	512389.875636777	517925.838789428	520614.518927594	508980.886484474	484770.531572066	510303.57956435	511571.27548983	478237.444592247	483639.310367241	503281.937620072
tr|B0BNM0|B0BNM0_RAT	56525.3058135317	49564.8588063504	54626.5795495913	54730.1112797816	51774.9949297566	57069.8191469151	65653.391062325	66759.3042739894	69784.1252419329	64081.4974562151	57943.362717035	19754.5949164593	17610.6728706998	19371.6942466188	18778.5231601514	18057.2167464639	17910.048473331	20243.7597052081	18910.6456194857	18067.5444481724	20480.2663693115	21918.3277106578
sp|Q64537|CPNS1_RAT	598554.946084785	611816.707222782	647023.050252655	590364.437707728	615069.557532233	638379.659006466	621867.517718925	635877.137176668	712735.873019451	663277.626533696	673700.563174602	652114.430079693	684630.864340762	675045.109633586	727762.286298907	727215.613118762	681632.155780845	666044.248698652	740741.299021885	793542.267347914	749440.241624452	674943.623609564
tr|M0RB11|M0RB11_RAT	14907.5206590012	12466.2686384165	13391.8504978255	15451.0666781405	15994.614176673	12932.0380030087	17796.9528987664	15718.977743282	13193.1337337313	13505.2197689711	15133.6730030247	9974.79692921161	10993.8695184612	13219.0637072285	11927.6483066335	12533.1865847417	12529.6851267366	12586.8861181401	10499.7465009526	11046.2951975039	9268.13662648581	12622.3856051596
sp|Q5U2V8|EMC3_RAT	109954.751519859	113956.384136837	130294.454159655	105171.106300525	122337.625948187	126983.569786744	140722.458748771	113732.991065157	127725.524129128	126860.481825132	118786.184806641	142226.054919545	133054.169415851	129442.78858762	139434.052603423	112818.240940176	135791.681739124	132864.148780289	130931.764733074	123503.670290346	121103.542812019	119332.753734554
sp|O88453|SAFB1_RAT	525105.030131677	451616.339100148	513677.225957969	484533.765260697	410103.821097949	441367.008049989	410290.608524156	483053.51117689	373094.604381788	370718.612915302	448289.446288895	471530.515534299	497453.408417255	485873.19729027	462923.404086648	425855.198211286	491004.612468452	447264.829384903	440279.892238447	482903.082294889	411434.552576372	457335.757997639
sp|P13852|PRIO_RAT	268897.894815298	234225.732928669	222349.570700112	238714.794896753	260166.257391922	246023.112644282	265337.747140629	247292.079877295	263240.860101356	244982.809127814	247885.770342536	471790.42732917	447924.782710442	454131.999558385	463515.912623353	472696.023868223	558130.169228924	498675.687524649	485037.788861506	465871.363102237	516103.246390185	465601.22538818
tr|G3V7L1|G3V7L1_RAT	191614.424394212	196178.736007719	205607.124603975	195855.69455201	182648.742057359	191043.815157077	160970.982282427	191441.203572058	180507.538423147	191038.203624752	188740.181790384	234004.500471623	261304.012014137	239289.566093874	258813.814754107	247618.138259176	220223.237603165	225794.09032598	250740.437440847	225521.924018484	229443.898816777	246214.874475947
tr|M0R9B9|M0R9B9_RAT	189938.896092239	187844.874487963	192202.824374413	192865.684287485	197907.389768608	188084.658911568	204923.091332548	184449.414042621	202013.11454895	200543.232249055	199741.61376461	186803.544181943	183971.496936492	196622.200621546	185190.558303949	205886.060791939	194745.140786756	190772.650221454	203142.385360739	193121.099015734	198021.518912845	187177.182548317
tr|D3Z9P1|D3Z9P1_RAT	203102.281358505	233862.374908518	219698.068131388	235307.584987256	202686.04072779	235636.121345972	221611.551034811	211255.074836051	215966.133538561	239968.190298543	208848.223604167	188575.615476253	195254.517986545	171396.959622625	179730.363432452	200335.707642589	186051.698654865	180780.259825349	191395.924569565	180338.832939047	170794.08573847	190155.514151624
sp|P19527|NFL_RAT	3016786.53450253	1565795.51993872	1432878.37783953	1776438.25557902	1913974.59764703	2032994.11577858	1171207.4374229	1923699.00284789	2006057.8573208	1529398.52158562	1892958.26320532	1202724.26138344	2009467.52693979	1528312.01938861	1279574.41441285	1357780.12050991	1757573.62211591	1373148.50303223	1495649.34460492	2950170.54055329	1174636.76198486	1486389.48656044
tr|D4A517|D4A517_RAT	792324.420306813	664296.447669895	669649.555974171	693933.096766376	748415.80945477	665501.898435615	852149.238514208	670268.122484676	665856.367678911	633584.51602979	741625.71034666	535583.722922167	507720.595287232	564035.236931442	557173.943789948	510098.075870516	631492.049516799	566035.592342648	490075.464926882	553384.145015299	547297.270001212	538282.000215569
sp|P97839|DLGP4_RAT	334741.651480111	278240.681565655	295715.83189747	272088.288079499	298568.245265853	276317.45948473	272130.29746013	270408.969310942	282320.209796929	253542.74078249	287193.618721765	295432.639734958	267160.006503812	296507.805293433	288099.732628787	301471.501458919	302919.478783688	303047.822930564	269156.757013207	285407.310956467	276211.860183861	287204.905584006
sp|Q5FVG8|GRM2B_RAT	11475.2887078984	10398.8343161048	10791.0462499243	12622.0925569452	9184.95805121487	11134.1246996655	9407.50635559495	10273.9831122013	10318.5981466834	9726.25228630783	12244.4519548299	30774.8022018168	22054.5711819811	28702.477958191	24568.5483638016	28233.4963879769	25954.2706926375	34163.2379706812	31423.2667119663	28240.5460432871	30139.5873764018	25585.0608604048
tr|A0A096MKB1|A0A096MKB1_RAT	107811.98862125	107811.98862125	107811.98862125	107811.98862125	107811.98862125	107811.98862125	107811.98862125	107811.98862125	107811.98862125	107811.98862125	107811.98862125	120621.205882434	125989.920764172	107536.176961746	109287.084963632	111470.455056105	104134.975456007	105012.478294005	109774.051589595	106347.691799796	95287.2875369186	94438.7511577354
tr|D3ZH40|D3ZH40_RAT	250184.680501035	261087.47932354	259024.890690615	273491.2908744	259430.790988772	265486.894441108	277904.445455584	261754.957614143	287298.203481765	268899.644703533	267924.502888398	183672.555872612	199090.908895015	213043.928561538	212284.235658751	201450.916107908	189421.026011361	184211.89997957	197645.182599408	224480.511115718	216253.035150355	198246.140586061
tr|D3ZN19|D3ZN19_RAT	39218.1717114927	44085.5118299533	51955.1973787498	43861.8565378364	42427.9741726199	50157.8860466181	56648.7547460284	44943.8586493362	45864.8437363699	42737.825716312	41529.8652726138	41284.8396291199	36980.0052614581	32130.2071161483	37328.4033082191	34006.7851848405	36221.4629682156	36441.9644501112	35918.1202484062	33232.8588935285	30623.3422858537	34398.0778508747
tr|D4A263|D4A263_RAT	125681.610544619	130041.97819649	123724.438532333	113400.067087991	136328.862850147	127412.731024792	131739.491567108	124102.586331858	126877.220076243	135624.257913719	129196.039853077	113064.291406218	110715.158876117	100028.454963863	112721.115833717	108075.311373315	102213.958633918	105115.775200284	116554.024573513	106820.362711294	108574.009712536	104483.992355769
tr|Q68FT7|Q68FT7_RAT	817403.974561626	869871.538084025	903494.800302743	864782.076488068	809358.996331299	827956.826874778	849444.781667789	816401.566546726	861964.552122582	830376.057440854	863213.930090494	782256.183526549	817744.77091722	813825.244188703	831458.285620208	788860.203910444	822514.943305029	791582.711814473	812806.628080513	824925.206264618	783826.712274947	786945.085811631
tr|D3ZIN7|D3ZIN7_RAT	291452.093309454	284659.833235838	297783.945634829	294055.219919996	285820.399729754	288660.598766666	326931.837496483	346026.901928038	305487.498259897	303486.98756733	316356.542904907	301911.363662482	278459.372024847	308989.089012065	260436.953353049	249186.167334246	293132.036955984	298482.38099948	273939.937745017	330083.721801305	285198.30159111	291325.412907437
sp|Q8CFD0|SFXN5_RAT	1290877.04514482	1212855.46831458	1291356.65083108	1310033.70918881	1215907.48466047	1370463.39218783	1163771.67705728	1187194.49595276	1262688.46557925	1176268.09932916	1229579.09576045	1101154.03289575	1173315.27133824	1042359.28527726	1053714.51793635	967942.014514405	952115.992450771	1054741.63669343	1072962.36279839	1081056.0976867	873902.419520009	1039386.3073839
sp|Q9JIL8|RAD50_RAT	164220.086457924	157127.15810803	162345.240394604	146630.812994587	150248.033145894	151099.910882993	148063.052011575	188738.765718052	153639.509053107	158365.208946172	152854.896565339	186349.728145682	187031.003455381	208108.794216094	213534.954560157	204159.950021343	180838.085782426	180251.454346315	180810.800526485	168217.049933908	170028.364877906	203142.889266056
tr|D3ZB81|D3ZB81_RAT	12861466.2648447	12445591.2594094	13697157.6132409	13206491.1869622	12520834.558509	12867429.9002076	10524929.8931112	14069119.4881235	12120115.6825895	11160303.8999805	12184731.3579098	6677933.37321039	7442875.40964832	5924570.34292773	6279549.22903208	6052693.22715801	5894595.05659393	6521454.61472387	6376371.01205084	5862417.94348766	5037669.46755534	6631731.34585661
sp|P49432|ODPB_RAT	5697184.41651706	5605380.98493397	5965410.03277583	5892674.31201064	5838446.27948136	5851641.63333335	6096135.1050582	6383944.31405525	5646693.9201225	5525453.26283229	5790683.17372231	3775626.68983244	4078045.45351804	3950330.47004759	3962250.77839577	3480805.80151987	4156438.86414425	3888035.57644077	3776799.41243031	4287261.77656312	3932811.62767412	3990839.71272364
sp|Q62667|MVP_RAT	305528.293162287	321345.717712925	339896.06368624	340225.26614664	290855.517007677	328410.492955614	309438.315497626	263701.913090394	279737.797397772	289221.943087194	310628.273752868	262557.218002154	278866.732766419	243221.864950467	230406.830636156	243429.922623787	231541.169979789	229666.891618509	255238.861671253	263110.354058044	259374.639036307	254336.950014404
tr|A0A1B0GWY0|A0A1B0GWY0_RAT	24348.8545000853	28195.6044624957	28948.4749738683	29945.2075240507	27327.5226488027	31985.3142224984	31507.6266457896	25295.6848206003	30319.121506194	33163.9529609314	30351.3011200738	73417.9580941418	68161.0303241959	70355.7253868774	65649.6372805923	79088.5368253892	76700.8952512413	67219.2359232208	73930.8471800933	76129.7777528249	77467.7251036466	72878.2563506197
tr|B0BMX6|B0BMX6_RAT	52487.2550475544	58502.0489073064	49142.4432876198	49475.1282860232	56091.3281697337	52059.4779788428	55469.8634437698	54679.104942996	45756.0284447133	49877.4948605579	52019.4780392314	38633.9720533279	42382.6834996065	39291.2906986299	45730.1239586636	36035.5638304033	46004.0188622834	40464.2985543226	41948.2564794655	42256.6496819366	41672.749118444	41119.8667119687
sp|Q5PQT7|PHLA3_RAT	42080.8606381184	51073.8520355456	50829.3477962473	47409.5703241607	41504.6124729016	44861.2793007361	44359.9487054425	50276.4974364024	49030.2460591062	57840.1870969812	51682.4496487481	48050.9782687074	48050.9782687074	48050.9782687074	48050.9782687074	48050.9782687074	48050.9782687074	48050.9782687074	48050.9782687074	48050.9782687074	48050.9782687074	48050.9782687074
sp|P08461|ODP2_RAT	12878914.738026	12984008.6976761	12997590.0742808	13407178.5040221	13318607.4585004	13009993.9781602	14219094.1857139	14789062.1804438	12460109.9154519	12977430.6302659	13584647.9684737	7521934.98378948	8183997.34879897	7945029.69246923	8167148.2316192	6932269.53658523	8090127.58732999	7818992.74152703	7459293.45031436	8436378.36803205	7747044.23410056	8287292.65868838
sp|Q6AYM2|TEKT2_RAT	170177.646148083	241556.701581369	182371.604431494	228518.465905895	235172.70332227	367258.511275472	266854.902503542	420894.838015911	220360.497235705	346438.621149154	183197.95310966	481144.772517241	448981.571690508	434533.336367657	522344.942663364	462529.959091611	335168.412126271	451887.693796923	525337.250996194	320180.021564623	490517.51781687	406114.065524258
sp|P47820|ACE_RAT	420453.703696513	498091.635881605	573457.063974927	447985.185939622	425422.627947538	509968.963150973	451049.943741434	391471.281282683	461668.791394978	493473.387644448	485480.066377936	354182.368123491	385404.672334161	328158.342505566	391996.401827778	419980.685987021	379275.070283776	311295.235753213	365318.266555101	351853.012308917	382699.121050359	357971.23683353
tr|A0A0G2JXG5|A0A0G2JXG5_RAT	374073.237651129	337819.6090375	309722.655585364	323195.045103061	323320.186666276	310889.130079526	264862.199897783	346512.647521696	288355.58208738	289756.812274685	309197.012435972	234630.792614155	246104.765849912	233496.90939238	225057.080320765	224366.412591592	204788.164020597	241181.209061529	235577.059495838	208886.553309962	205557.146089092	223825.443793561
tr|F1M9C9|F1M9C9_RAT	315887.278943827	349404.242236349	322358.484464953	316023.378026222	321999.13783838	356159.371392998	335725.199596443	290964.078976592	316967.152688067	329315.786284435	319166.164214384	373955.880533159	375560.747524635	358680.841388593	367817.391307766	389285.215000246	382517.876451786	339584.781559564	378222.001483983	374429.739927438	373810.110527469	365735.172479674
tr|D3Z853|D3Z853_RAT	41161.9859343026	40134.2609154069	44232.8589883398	43373.0872255736	44265.1748406755	42458.297927316	39529.3951778567	45745.7478140567	40050.8315202617	40210.772820532	44538.1712398283	146574.509367511	134322.522585272	146868.06594248	148328.56516886	139586.754726954	132894.0147741	139885.512385839	142854.796687179	120437.052114878	118919.827505614	137329.523409987
sp|P04638|APOA2_RAT	492683.520596	349548.499301623	864079.10198234	324305.181792938	406570.226518349	290140.391416048	424483.296459148	202328.055060824	593474.634403181	287414.091468914	384088.027072188	303067.068464842	146099.59637776	224122.058631208	169541.184244778	360185.819808823	204603.09783646	186246.038073839	140052.108975161	282856.620194794	250138.928284816	232764.368813339
sp|F1LRS8|CD2AP_RAT	189843.160121988	236702.680672675	205330.358588396	213057.867439018	197594.72240504	217218.300567249	227269.588336101	193751.074670388	211124.393291437	230546.888402646	215669.64587938	206498.310936129	210205.980182487	210670.590485281	210885.693344518	216672.437016737	216574.607614939	212190.330486155	227789.081221465	219221.946618006	225671.16845874	214351.805740335
tr|D4A9G6|D4A9G6_RAT	110873.871366802	116465.812394202	108517.753831517	113157.655652974	136185.246801696	123479.793048198	137967.380661325	127329.79116621	131394.704992989	131348.895381521	124998.857657184	33014.9054730832	30067.0542686681	37957.782572583	31960.4948415662	41759.3815333009	34841.2309053518	43125.322580286	36597.6470928612	31724.3018446699	30460.8879420926	35840.3853319237
sp|Q9QZR8|PDZD2_RAT	10346.4668391916	8171.00031128591	9791.71641082812	9474.16916421914	10609.8732120651	9992.73230268754	8604.80572938629	10678.8825376677	7991.37641541963	10107.9908112704	10907.0666594202	10020.7252488498	12220.9546986966	10444.9118760841	13445.6155127007	13045.1423335643	11906.4094958689	10016.5982572319	10598.1069474839	9688.00050944251	12309.5358047777	15892.1314906384
sp|P32232|CBS_RAT	2176790.88191332	2205195.36752615	2123886.41896558	2125489.3350914	2051797.74213679	2146454.78396934	2170606.39116516	2074513.87255692	1813814.84855678	1920546.1580176	1972149.98778514	901151.688782587	904573.882609132	792615.396900877	809930.253063161	765341.425520036	796176.045168903	774587.493968904	778998.466095584	814450.469518385	832271.454929415	850444.110271413
tr|D3ZH39|D3ZH39_RAT	547554.283262152	508812.309738348	491744.014497463	525484.675898485	567245.728394959	511578.509080024	512213.614000219	664012.586372618	456915.863072652	501799.638374268	508409.102157819	363953.134656586	368489.14983165	452424.830163167	401570.923734873	347739.218845921	407602.78170057	406734.062944374	365763.044323844	383933.313890843	378152.282390702	386060.912182687
tr|G3V953|G3V953_RAT	115666.784952733	111970.782498651	113485.442861826	105398.895036813	97996.0240372985	95232.0990533536	107489.964751245	121686.845717446	89138.631324625	89869.6983287506	105010.454993324	103237.124305432	98098.2889064744	99952.3759660182	103012.930411536	88714.8999357967	96673.0535244117	95187.4289505524	94344.1964382286	91430.4402604989	90348.6986339085	96964.2693154706
tr|O70188|O70188_RAT	138074.564648697	121443.341272455	117742.987895217	119981.889122295	122000.149745635	128039.969141446	134453.498845158	133470.683932044	114139.726458735	117271.08178692	121799.606163136	62370.937745506	68556.2995265684	55785.2889690004	56273.0037165669	61816.9728262168	73550.42390481	71005.4103223719	72341.4729597828	67551.5035712551	56739.4097185108	64340.8694456072
sp|P42930|HSPB1_RAT	207374.126343824	247756.670735534	270672.516221495	226264.857404231	202117.815800249	231274.067359215	177401.242157788	171421.471834027	256221.30010504	244448.832009108	227317.974090804	215047.308680663	276994.525223564	192894.750610297	193368.33939706	250320.395038072	196543.233581686	173615.685921443	190554.996343935	223376.376476367	230648.740929091	207721.064513571
tr|D4ACX5|D4ACX5_RAT	58316.9659782836	53409.8915761528	51248.2344332139	55550.3448521386	50995.2003164627	50477.7523740701	51903.8665453737	58818.7640657269	48977.5369158382	47851.0126605341	51473.8641488405	50904.9348593116	49897.2320703022	45624.9873046883	46751.0245546886	43698.8106515898	42936.4511283459	46239.4077509704	52120.0464086491	42795.0045200886	37998.4403791996	50695.8986601093
tr|F1LT49|F1LT49_RAT	423540.937230794	454412.277507077	461986.85877008	456696.602267118	430129.018542652	436222.228520981	439702.526226062	391225.387156964	452530.389789798	438699.97828248	432040.511316563	443007.821898432	446030.185530263	436577.135864503	455394.044806409	439582.356857171	433814.758304269	438025.464795901	453284.385445901	431687.606982872	428375.610710687	444916.944981961
tr|A0A0G2JT50|A0A0G2JT50_RAT	1378718.83844451	1156866.42712623	1248019.02327521	1280712.40797334	1371741.67026451	1264339.47411176	1191346.97801091	1146875.71174777	1181552.98995538	1190485.16212756	1211863.5867092	2325183.65796829	2181023.69310682	2288841.00661735	2119009.29118615	2142283.73043478	2309861.91979864	2397328.7399371	1977285.936372	2245292.25242272	2129083.59274074	2243486.81745126
tr|D3ZZV7|D3ZZV7_RAT	128323.399269813	101471.624073332	111867.347497451	118199.75171857	132584.652675946	126486.37959863	79805.3166079433	117956.219341867	106027.025012298	112755.583713161	109856.701719957	122518.812645132	110832.426704822	116246.756142476	110052.43041201	111943.273234425	104515.351892254	129096.240140271	96326.1975446533	94386.6653958451	97831.1470564062	114136.567102414
