	batch4.sig126	batch4.sig127N	batch4.sig127C	batch4.sig128N	batch4.sig128C	batch4.sig129N	batch4.sig129C	batch4.sig130N	batch4.sig130C	batch4.sig131N	batch4.sig131C	batch5.sig126	batch5.sig127N	batch5.sig127C	batch5.sig128N	batch5.sig128C	batch5.sig129N	batch5.sig129C	batch5.sig130N	batch5.sig130C	batch5.sig131N	batch5.sig131C
tr|D3ZQY4|D3ZQY4_RAT	325939.183211022	323242.027489097	342419.557979981	308410.248618474	319384.244333398	332936.864672801	257527.582629772	372020.16159385	329583.431536684	323843.12442186	328454.326296996	209390.33224617	224438.432420594	200439.960807751	207185.899951123	208552.431330991	176358.454569829	197336.016289696	212559.810441577	182794.481790141	177162.330747883	206882.35312049
tr|B5DEI0|B5DEI0_RAT	639866.867969629	669599.269320933	630627.343081386	610649.301813079	666513.298367308	680444.297430666	721068.186378319	663607.861698411	632902.416200885	601417.029486961	672627.203163779	365681.446692943	392794.198068442	388993.66633692	386748.914940329	382292.034018422	422105.788768451	363413.574615972	354086.21221699	406281.92155024	380647.971818016	383604.336735094
tr|M0R805|M0R805_RAT	459221.859885232	378964.329205086	400024.470214586	410038.416483563	459851.811499677	404472.616789166	269327.872615245	343865.206585314	397435.217118567	376969.152973512	385059.101600506	379157.408260876	359111.718409713	391447.71753962	349749.738844596	394300.11292155	383106.242036331	462587.448547962	367360.77314577	367370.654845828	354527.66521287	374297.202301343
tr|D4A500|D4A500_RAT	236692.105449313	254590.861924031	274458.962403245	263212.195017628	266503.861258838	272922.969770076	292472.777416409	248090.895490706	286189.98932705	273625.354018838	266648.34025763	261416.206492622	278747.440009838	268465.812322386	285193.100611763	310857.227807004	308926.719010067	270969.70578052	277748.839845391	304607.403356255	325174.878302427	290866.587650981
sp|Q6P7B7|ZFY27_RAT	133738.844997286	141501.754540056	136755.781223085	118672.189889195	128202.28255369	129919.174140586	121485.207412464	140449.484319371	133855.099209146	123798.201777795	136622.696097541	55110.2584618606	62132.4036983163	51920.206684853	53346.2232257008	53913.2654805198	58161.0388354185	55271.6618785476	56903.6834824107	57472.2275217084	50653.9746204198	55630.7293920125
tr|D4A5S6|D4A5S6_RAT	40081.0283936696	38292.1878098439	45436.2951004995	37894.1311862975	39669.9669948413	42223.4407211813	41927.8646395219	53065.8746010989	51453.9823017134	43605.2656421655	43261.4099517176	49948.7643179039	46772.3023617	48679.8243400744	48124.8388305703	56640.3758359707	47854.6912169643	48005.2966576103	46766.8935300053	48575.3991603434	47555.4443942031	51636.985690898
tr|D4ACA2|D4ACA2_RAT	56354.7364076006	56354.7364076006	56354.7364076006	56354.7364076006	56354.7364076006	56354.7364076006	56354.7364076006	56354.7364076006	56354.7364076006	56354.7364076006	56354.7364076006	63420.6383675868	63288.9297342266	52248.7455962058	56535.9343166309	62754.7526827067	58702.6656018604	44882.633400089	52749.792547913	52850.3432368151	53468.8793675951	62292.846970952
sp|P55280|CADH6_RAT	156680.795935507	133012.81393674	135889.958242668	139210.104962822	151484.230227975	141544.910141668	140210.827193535	176266.354803653	146502.197842261	149546.725950725	147742.025769798	153890.966675443	157003.912228595	174238.379069909	176557.272918566	168825.096016877	185149.332807392	182185.62696657	172856.245437488	168686.790793887	152965.262207584	166536.417612594
tr|F1LUE9|F1LUE9_RAT	662224.363498191	650236.718894556	667109.614673447	616588.031462996	522806.097605889	522242.838949858	599201.981822463	636614.178942534	495999.175099944	476480.848299387	636060.216720394	416262.579949454	425446.287889824	387416.550964288	398748.811551927	368758.451363539	437284.27380535	381501.575045307	392349.489733287	425791.902219116	372140.100139408	380310.332750161
tr|Q5I0M1|Q5I0M1_RAT	436394.350457999	543611.338734073	493019.387310783	378839.171972404	416339.458307147	513642.681235866	470408.412577031	376437.133359001	691520.782054986	576152.476144216	495775.492371486	131305.809651062	106938.871504781	107156.136974515	126923.251928669	112840.27478569	108950.645743758	103082.883534742	100155.289473425	91247.5699736234	131182.79555376	103869.527968118
