X.GN.	X.Pr0B_0h1.	X.ProB_0h2.	X.Pr0B_1h1.	X.Pr0B_1h2.	X.Pr0B_4h1.	X.Pr0B_4h2.	X.Pr0B_16h1.	X.Pr0B_16h2.	a
"sp|O09126|SEM4D_MOUSE"	17.1580076399562	17.0884420899011	17.1682474296493	17.1634480397516	17.3465363504119	17.3659803696136	17.5769767200348	17.5640912999435	0.993873304219378
"sp|O35717|SOCS2_MOUSE"	15.5713984300027	15.3495609699297	15.5325673900946	15.4974548098443	16.0152157199732	16.0650312199848	16.4138118500104	16.403023320058	0.99284922356876
"sp|P35951|LDLR_MOUSE"	13.4660668803701	13.3304270893454	13.4378212396755	13.2587090399837	14.6404559697382	14.5276621400448	15.323307010015	15.1741070000625	0.991954740831165
"sp|Q9D8C2|TSN13_MOUSE"	17.948518680148	17.8403937199793	17.9176519597118	17.8761555998541	18.1370581998237	18.2098205901186	18.3580849300022	18.3823461201806	0.991113926794413
"sp|P42227|STAT3_MOUSE"	18.3295018700308	18.2698440801402	18.319784830181	18.3060277000309	18.4623045698591	18.4613382700152	18.628146980082	18.6609112800954	0.990339752953376
"sp|Q9D4V0|EKI1_MOUSE"	16.3014988200107	16.2914395199709	16.2697888399353	16.3335281800858	16.6246280906156	16.7537290693569	16.9351491295824	17.0180437200431	0.989949580776003
"sp|P05532|KIT_MOUSE"	17.159467260165	17.1866902602314	17.2382095997207	17.0485313998262	17.8084360601277	17.924512400268	18.2238542999828	18.2233489301132	0.987257257823108
"sp|Q8VEJ4|NLE1_MOUSE"	17.6711979200651	17.6982143298591	17.7435290302404	17.6391320603305	17.9222697700931	17.9054150701422	18.1508506500566	18.0992120299262	0.985063789352116
"sp|Q60715-2|P4HA1_MOUSE"	16.073658389994	16.0278647300995	16.0316851299702	15.9823621400636	16.3922953199364	16.4074266300645	16.5638626199656	16.5424389799715	0.984762822555177
"sp|Q01237|HMDH_MOUSE"	13.9088737303831	14.0706671502563	14.0273287002878	14.0571356696778	14.9018780698033	14.8343488601542	15.2902450799586	15.2494115701179	0.984362761520301
"sp|Q9WUK2|IF4H_MOUSE"	20.2522775902057	20.2226487902924	20.2921875603392	20.2438918301087	20.4537664199621	20.4197011002884	20.6379576103534	20.5589091799771	0.983861794587534
"sp|P09581|CSF1R_MOUSE"	15.9527784700763	15.9230134298959	15.8318798900158	15.8130091698938	16.1923044600246	16.2643178799707	16.4817230099971	16.5656168899514	0.982093205177371
"sp|O88199|CHST3_MOUSE"	17.5629327498063	17.6136510202158	17.601313919944	17.6891031597398	17.8646541101925	17.8692167702502	18.1281562001019	18.1718246601125	0.981071406340712
"sp|Q9CQI9|MED30_MOUSE"	15.0490560298103	14.957141839857	14.9837069799075	14.9805823599254	15.1261635301698	15.1266570098313	15.2930195000176	15.258807790184	0.97920917411128
"sp|P14094|AT1B1_MOUSE"	20.2153497102264	20.1715099004941	20.2320986401939	20.2328481099892	20.6893357097726	20.7550327800847	20.9007315099229	20.8560154401261	0.978537503347106
"sp|Q64287|IRF4_MOUSE"	18.95644781998	18.8840576499863	18.9268238999079	18.8462043199371	19.0681200299343	19.0700555399454	19.2139410201029	19.1995102100819	0.978409574481301
"sp|O35368|IFI3_MOUSE"	17.601392380203	17.4768628297298	17.55111601997	17.4655369100541	17.7493821599847	17.8393666899411	18.2311365698334	18.2348031401906	0.977245855097881
"sp|Q6PB60|BHLH9_MOUSE"	13.2308632100555	13.3264833104972	13.301086010314	13.2472564800431	13.5009405798196	13.499131629811	13.7849478402366	13.6939126095271	0.976290098355218
"sp|Q03145|EPHA2_MOUSE"	18.4095511299586	18.4924206001151	18.4587724299452	18.489198309849	18.721776970075	18.7272475598906	19.1402530199935	19.1657993598777	0.97628702034326
"sp|Q9WUK2-2|IF4H_MOUSE"	20.2567439102042	20.1569160702358	20.2875370803252	20.2275416303254	20.453800470239	20.4281444800771	20.7036035602178	20.6002584897359	0.975336032029678
"sp|P52019|ERG1_MOUSE"	13.2927430403978	13.138735379963	13.377393280072	13.2785802900341	14.0003365602308	13.7568774698881	14.7084024199415	14.8919088501613	0.974990519383026
"sp|Q8R0S2|IQEC1_MOUSE"	18.0771131300473	18.1160280599069	18.1268638799026	18.0624486300939	18.3395779899877	18.2596657901152	18.6148203698992	18.5998714498784	0.974712333173922
"sp|Q6PHZ2|KCC2D_MOUSE"	18.2496580798964	18.1808689401579	18.2544891600773	18.2674252499147	18.3849302098923	18.4355792799022	18.6861464601065	18.5818039298802	0.973661271006114
"sp|Q9Z131|3BP5_MOUSE"	14.5746988301809	14.5407650599732	14.5463506899485	14.6330971599637	14.6923279599379	14.7308956599083	14.8569305498173	14.855129849989	0.9734708669071
"sp|Q8VDV8|MITD1_MOUSE"	16.3976767300815	16.4683325999973	16.4781285500627	16.4862162799907	16.6378962901653	16.7302330898786	16.8141227601762	16.8231991298065	0.973270720308281
"sp|Q8CFB4|GBP5_MOUSE"	15.1469264099704	15.0810417398626	15.3606163600063	15.3002524001651	15.5634037901172	15.680646099914	15.9953561399566	16.0818444399238	0.971498324770254
"sp|O35988|SDC4_MOUSE"	14.6960914401025	14.8625931501331	14.7173692501029	14.7670004600881	15.0519471601483	15.2865808301779	15.5471932800581	15.6228413999303	0.971036411836321
"sp|Q60715|P4HA1_MOUSE"	16.1555523099352	16.0176572800584	16.0421612100872	15.993395720051	16.4280714400746	16.4290996300381	16.5662522300741	16.5605571500295	0.970597544966766
"sp|Q8R3L2|TCF25_MOUSE"	16.1417848899934	16.190994970016	16.2287678000336	16.2505920700704	16.3315114299253	16.4058264900206	16.55347573993	16.558267100044	0.969713727056753
"sp|Q5DU25|IQEC2_MOUSE"	17.1812391103019	17.2652325096375	17.2807217501749	17.2366216299428	17.3925078197615	17.4035183197524	17.5096125798999	17.5242383701042	0.968709639298148
"sp|Q8R502|LRC8C_MOUSE"	17.1205957198421	17.14565251001	17.0840052303086	17.1306710798207	17.4170265995897	17.4054269499949	17.4808551000902	17.5136422502639	0.968576751298205
"sp|Q9CWR1|WDR73_MOUSE"	16.5272611400447	16.4578900600439	16.4701969699568	16.4146054199973	16.6129002603002	16.5970821399327	16.7867019705672	16.7362142197043	0.967831066356212
"sp|Q8BTY2|S4A7_MOUSE"	16.9998535701174	16.9526048803111	16.9487409395766	17.0152771904518	17.209390680447	17.1222445497131	17.5054649102827	17.4323650400074	0.967753311558637
"sp|Q922Q4|P5CR2_MOUSE"	19.2751040699697	19.219411309949	19.2327231600554	19.2254929300817	19.3486415200884	19.3277957299511	19.5459818999771	19.5189009600734	0.967059395413106
"sp|Q3UH60|DIP2B_MOUSE"	19.0712681000205	19.0328685900775	19.1186028999216	19.0762216798965	19.2343699099504	19.1626954499552	19.3459267900299	19.3391328599062	0.966617636461229
"sp|P52194|CLGN_MOUSE"	14.3266400199833	14.430557690116	14.2295277000446	14.2214519498734	14.6079746701439	14.8441593799526	15.4215846099853	15.4173325401554	0.965597218891024
"sp|Q8BZ47|ZN609_MOUSE"	15.3591223100329	15.4087130699212	15.4568165698503	15.4513541498867	15.5646768899665	15.5434908801344	15.7378102400278	15.7459308099325	0.965454287597618
"sp|Q9EQG9|C43BP_MOUSE"	18.8016874498529	18.9471564599057	18.8434432999153	18.8697818600175	19.0791777099542	19.0809853199748	19.2437002099556	19.2620951200333	0.963716006852124
"sp|Q9JK83|PAR6B_MOUSE"	13.6758687798108	13.7040868102419	13.6987141403933	13.6943445996951	13.7818957698118	13.916848229762	14.1026888902567	14.0236685703333	0.961538624750098
"sp|P01895|HA1Y_MOUSE"	19.4575614800113	19.4547418600649	19.3533885099256	19.3959569301018	19.5339202899937	19.5831702099445	19.7895050399272	19.8044407200616	0.958652585877593
"sp|Q8VCP8|KAD6_MOUSE"	16.0524242999089	15.9823065499259	16.124012129957	15.9705826900392	16.1799943400073	16.1996215300768	16.4428526599455	16.3982946199573	0.958317108981245
"sp|Q99LN9|DOHH_MOUSE"	14.6798545501282	14.5982323901088	14.6261230801785	14.6841151801097	14.8749446998151	14.7841909200522	14.937218409895	15.0465554001709	0.954994507130772
"sp|Q62393|TPD52_MOUSE"	15.2425213500408	15.2280515401147	15.2366868299522	15.3187280900655	15.3865540801304	15.6430446699099	16.0113933200553	15.8995310099738	0.954722957493996
"sp|P02468|LAMC1_MOUSE"	15.0655985398319	14.8715864401628	15.0552881799143	15.0810130899494	15.4646423498526	15.3992339299185	15.7477714699927	15.5208192401411	0.954109590991632
"sp|Q9QUR8|SEM7A_MOUSE"	14.4385148802556	14.2536493097987	14.3049427196603	14.1803967496661	14.6789148998941	14.5124236300582	15.1903504499611	15.1227607199003	0.954087654972149
"sp|Q91YR5|MET13_MOUSE"	18.4065729501347	18.3457482198439	18.3656163800684	18.3038620000303	18.4327127099656	18.5043644000618	18.7139044001219	18.6762170801415	0.953181489801571
"sp|Q91WD1|RPC4_MOUSE"	17.5983216998273	17.5292100097187	17.5052861798216	17.5434380996851	17.6453746701173	17.6458415697998	17.8515890903019	17.7828604402416	0.952221128523276
"sp|Q8BTY2-2|S4A7_MOUSE"	16.6750771994116	16.5539627800607	16.6464344700759	16.6144970800757	16.8887587905056	16.7435455602061	17.1612787801723	17.0452795795907	0.951995395675079
"sp|Q9DA39|LFG4_MOUSE"	18.9309072698889	18.9341099199118	18.9888750499306	18.8555966999538	19.0213999301336	19.1137587098896	19.3124953499435	19.3393694399983	0.951684620041534
"tr|F7A856|F7A856_MOUSE"	15.7179450100605	15.6531360700826	15.7486522299926	15.7600969699323	15.8250566099804	15.9121898999343	16.1016395299579	15.989349989967	0.950968662121805
"tr|E9Q1K1|E9Q1K1_MOUSE"	16.4337790000188	16.4526032299887	16.3973827400789	16.4393446500469	16.6205984302833	16.7882239195158	16.8435971395083	16.7659207801424	0.948725758443269
"sp|Q91WV0|NC2B_MOUSE"	17.1408644300987	17.0853447799169	17.0590876903145	17.1076793395881	17.1644720802013	17.3007722803715	17.4130405800771	17.3674759702915	0.947757543064824
"sp|P58283|RN216_MOUSE"	16.2546830899896	16.2636858799787	16.1936806199288	16.2519561799932	16.49213259001	16.3294278399371	16.6586987201523	16.6812326101244	0.946474686382031
"sp|Q9WVB0|RBPMS_MOUSE"	17.9247994797966	17.8798807101859	17.9972039401328	17.8100129001898	18.1204139401235	18.1380252200224	18.3020035698227	18.207162050208	0.944987421539454
"sp|P47226|TES_MOUSE"	18.7005437999379	18.7177876300926	18.6274521698597	18.7678619100823	18.818007870023	18.843361340061	18.9807210599901	18.9982050698857	0.943999537316435
"sp|O09043|NAPSA_MOUSE"	16.617994499973	16.6959880704916	16.621312969976	16.5514612499855	16.8215707798064	16.8299897204349	16.9048309104645	16.9181500503583	0.943948242363002
"sp|Q8BYL4|SYYM_MOUSE"	19.2262646000412	19.1354374499877	19.2477248199614	19.1543579200556	19.2631159400459	19.3354823299392	19.4908287599646	19.4447013899754	0.943640815376299
"tr|B2RPU8|B2RPU8_MOUSE"	16.6317717704989	16.4868270700671	16.5461848499385	16.6371960900147	16.7302079203561	16.8240644003012	16.8822553195371	16.9999075501717	0.943426963512476
"sp|P18828|SDC1_MOUSE"	14.2851190600069	14.4286064201499	14.1833473401473	14.1101215197674	14.7444865699715	14.5083095401468	15.3252017601169	15.3261652599177	0.942756067841285
"sp|Q9DBA6|TYSD1_MOUSE"	14.6393428698666	14.389425760063	14.6416340199957	14.585790750044	14.8134540200161	14.8075215001429	14.9759881498395	14.9813600200738	0.936856004745112
"tr|D3Z1F7|D3Z1F7_MOUSE"	14.310119059768	14.3144137601342	14.2102262600242	14.2787939803105	14.4889889601004	14.4661682301246	14.5786004097354	14.5049475802178	0.934797347709286
"sp|P34902|IL2RG_MOUSE"	15.6185623299726	15.6827077698978	15.4983406700429	15.614936400121	15.7390073999104	15.7591676599312	16.0325743200711	16.0046015100078	0.93299007499724
"sp|Q8BTI7|ANR52_MOUSE"	17.1310773897197	17.1640477497372	17.1912083896932	17.3018615997124	17.3110388302973	17.3505092700107	17.5441055996904	17.5958106799887	0.932659205689633
"sp|Q8C2E4|PTCD1_MOUSE"	13.6465206904093	13.7294891596015	13.6278863601144	13.6078511505453	13.7795619303074	13.8826110000475	13.9194470203418	13.9128872101613	0.928030386153271
"sp|P11370|ENV2_MOUSE"	15.3735137200529	15.3968008601331	15.3525423300819	15.2265555598823	15.4783922398441	15.4723041799347	15.6227413099291	15.6646981998845	0.925855735753539
"sp|Q8BHJ6|SERC5_MOUSE"	16.6597260793834	16.6466964199835	16.6798566396777	16.731072009349	16.7723606794686	16.9403683395929	16.9235596899306	17.014733550183	0.923964495706086
"sp|Q8C006|TRI35_MOUSE"	15.0638498301774	14.9654459799003	15.079403889968	15.0433078698944	15.3489798598766	15.1194428401273	15.4056787799343	15.4421927898402	0.922369682238813
"sp|Q9ESY9|GILT_MOUSE"	18.6588691199106	18.7499509900248	18.630057299969	18.869235160132	18.8692279601502	19.1872197600755	19.3054726799531	19.445677380004	0.92168785098389
"sp|P02340|P53_MOUSE"	14.6072966498946	14.6817557200272	14.7189508000303	14.5551076897343	14.756499629958	14.903557079972	15.0140776598662	14.939141870122	0.921194506150496
"sp|Q8R1J3|ZCHC9_MOUSE"	15.5884810801258	15.6975504500793	15.692759460004	15.6219332299247	15.7227668099404	15.7914551799888	15.8893362800578	15.9744219800583	0.917127895990243
"sp|Q3TYX3|SMYD5_MOUSE"	16.689687779382	16.6748122305662	16.5882739000245	16.5960847400194	16.7455220694194	16.7316616503006	16.953374369797	16.8463037496442	0.914554766683382
"sp|Q9D2V5|AAR2_MOUSE"	16.0603389000631	15.811991530018	15.9965286001053	16.0265923200974	16.1005827299016	16.1958433999327	16.3264438599281	16.3207209400785	0.912312139049384
"tr|A0A087WPL0|A0A087WPL0_MOUSE"	15.5119165200423	15.3433651200525	15.4920356799368	15.608158930056	15.6816826099364	15.6837944000678	15.7974578701107	15.8829501999545	0.911498727576344
"sp|Q9CR25|DPH2_MOUSE"	16.3671447100631	16.2926715100728	16.2606250700369	16.2797915099466	16.434505609961	16.3724957999584	16.5493930499282	16.6923232105664	0.908423133046289
"sp|P97784|CRY1_MOUSE"	16.6833632303385	16.7570575602407	16.730793460156	16.7340320800067	16.8323619501737	16.8605347804425	17.1798825600395	16.9652532898331	0.903549642268941
"sp|Q8VD57|SFT2B_MOUSE"	17.79801369004	17.7371082097702	17.7535163400648	17.393417350182	17.9835142502443	18.0973700301434	18.3051197699425	18.1868524198901	0.898852169590403
"sp|P51912|AAAT_MOUSE"	19.5475783600155	19.6478077399637	19.4896170299415	19.4945293099195	19.6329568800154	19.754260989984	19.8736001799477	20.0565647001121	0.897437337122611
"sp|Q80X73|PELO_MOUSE"	17.3981334799017	17.4073903396454	17.3168566802414	17.3495607601879	17.4281757401187	17.5279906402929	17.5541087500095	17.6908164196695	0.893496274153763
"sp|P56581|TDG_MOUSE"	14.6622872998429	14.8856110901563	14.7455061497972	14.7592082101663	14.8830374599227	14.998110019931	15.0654077699832	15.2262148199163	0.887606917386837
"sp|Q8K078|SO4A1_MOUSE"	15.4658022400905	15.4316608400541	15.5508665099773	15.6330734899557	15.6408120700982	15.7075222301273	15.8144194701092	16.0578019300278	0.883144712519358
"sp|Q8BJ56|PLPL2_MOUSE"	15.4660850001215	15.4142712299462	15.226355440123	15.4168797299247	15.5943381300023	15.720534780129	15.6733049000888	15.9031633999547	0.877909216936376
"sp|Q7TN60|TMC6_MOUSE"	15.6084778699607	15.5268020999462	15.4397642100526	15.5078857498675	15.7444797899271	15.6104592701144	15.835995739967	15.72348531002	0.868911934580003
"sp|Q9CQ33|LZTR1_MOUSE"	13.9193876903172	13.8625932198681	13.8748482801711	13.7459949099181	14.0631766102127	13.9296586501227	14.0639424001684	14.1462974297806	0.868814829785462
"tr|E9Q5B2|E9Q5B2_MOUSE"	15.6092975801	15.5442437698709	15.7062417101254	15.7780769801104	15.6978663800491	15.903576750021	15.9740513998887	15.996418819936	0.860394874915307
"sp|Q9QXK9|SH22A_MOUSE"	14.2258584801701	14.0591513403963	13.7446643602711	14.0126993898217	14.0721738900844	14.2663980197638	14.3913721297896	14.5484809399734	0.788676846852931
"sp|P25918|CD19_MOUSE"	13.5945342297345	13.5663966898893	14.0418871699442	13.824904520143	14.0649399499051	13.943272270087	14.1263825702826	14.2258535001699	0.787313450768989
"sp|P01108|MYC_MOUSE"	14.7622108600978	14.4067605300656	15.2133747098585	15.1360936898729	15.4303333698742	15.3558333398808	15.4868962298691	15.4937179498869	0.766688714327329
