X.GN.	X.Pr0B_0h1.	X.ProB_0h2.	X.Pr0B_1h1.	X.Pr0B_1h2.	X.Pr0B_4h1.	X.Pr0B_4h2.	X.Pr0B_16h1.	X.Pr0B_16h2.	a
"sp|Q8BIY3|ZC12D_MOUSE"	15.8447631401118	15.8816837399382	15.8613758000197	15.8749363400327	16.3260361000082	16.4039666700168	16.2802812500436	16.3442371399583	0.996338950958803
"sp|A2AQH4|BCORL_MOUSE"	14.5287358098816	14.4670126701215	14.5225319297915	14.4436040402505	14.8276004200331	14.8542362399749	14.7913902497983	14.8257191099155	0.989735459917588
"sp|Q9Z0S9|PRAF1_MOUSE"	19.2874904000087	19.3150178600717	19.3954682399141	19.3449231100285	19.6372132500564	19.6579944400303	19.6405632999221	19.6190916099834	0.979799337445852
"tr|E9Q8V6|E9Q8V6_MOUSE"	14.8185824600685	14.8625589398772	14.8673996202099	14.8332980699834	15.1177522899394	15.1178517600927	15.1693653300232	15.1188688299391	0.979197426066869
"tr|D3YZ60|D3YZ60_MOUSE"	15.7042161999871	15.7220250298836	15.7998603400142	15.6482652198852	16.0665233099367	16.1525748799905	16.1705787300623	16.1195408000875	0.97754752866692
"sp|P50592|TNF10_MOUSE"	17.0385693202944	17.217718569855	16.9957038604734	16.9936524102665	17.7719817100991	17.8943567899476	17.9835217997745	17.9756248499025	0.972924140774466
"sp|Q8C0L9|GPCP1_MOUSE"	17.7190010799805	17.7419371399113	17.6771023897655	17.7541678099704	18.0270313097414	18.1019883700597	17.942733889938	18.0311836600124	0.971547692484929
"sp|Q62313|TGON1_MOUSE"	14.8725644497614	15.0866745301312	14.9753200399729	14.9347479800909	15.5158012200172	15.6180549701063	15.5410372500109	15.7357400398798	0.971529630767093
"sp|Q62351|TFR1_MOUSE"	22.2348548200779	22.2859575300699	22.2329414300551	22.2994369398949	22.6077850600744	22.6195763399228	22.651439139929	22.6976044800798	0.969703895863096
"sp|P27577|ETS1_MOUSE"	17.1074083602011	17.1550600496432	17.1407625302249	17.1136016402772	17.8140813902049	17.9055269497099	17.6590948197403	17.545681240142	0.969145123281782
"sp|Q9JLV2|TP4AP_MOUSE"	15.3603516599991	15.3544050801115	15.4123961999231	15.3553930798916	15.7671992900111	15.8285880701029	15.6223832399423	15.6561993200782	0.968307612468682
"sp|Q9QXM0|ABHD2_MOUSE"	14.0051888303749	14.0252990503567	14.0938441296832	14.1017294802578	14.4116237100471	14.5304498197015	14.5664316202501	14.5776516401767	0.960869613814869
"sp|Q6V595|KLHL6_MOUSE"	17.2187439004098	17.2192023795622	17.1488620404835	17.3056260098375	17.4926915396758	17.5638617903282	17.4905192597007	17.499683679855	0.948302057761402
"sp|Q9EP52|TWSG1_MOUSE"	16.0480780599306	15.8185716600379	15.9236861900295	16.0002316000487	16.4683359700593	16.3874089299226	16.3865790800639	16.5252392000719	0.933961132592125
"sp|Q3UKC1|TAXB1_MOUSE"	19.4337355899909	19.4981075699946	19.4524952998998	19.4577066599487	19.8675309200439	19.6870763100056	19.8003524200153	19.8130936300229	0.931041382514981
"sp|Q8QZX0|SBK1_MOUSE"	16.1029759699926	16.274968320012	16.1638810100712	16.2058726899194	16.4217389199811	16.5506471799323	16.3801928600764	16.4309626800738	0.930489194797047
"sp|P97287|MCL1_MOUSE"	17.799560950297	17.7583742298492	17.872848920109	17.8596031899949	18.0625203998421	18.0345804299254	18.102035380153	18.061750639758	0.929653195529381
"sp|Q9JJ66|CDC20_MOUSE"	14.8790480499572	15.0078799898792	14.9483932702247	15.0283918500933	15.352925550137	15.238945910076	15.220703330172	15.3138793498627	0.927771928025989
"sp|Q66JY6|ARG39_MOUSE"	14.6358428998947	14.453339029846	14.5497086802384	14.3845664001304	14.8215756102191	14.9551876598429	14.7911127999312	14.799971699911	0.925598411828109
"sp|Q9CR56|KBRS2_MOUSE"	15.4947772898538	15.5635434001028	15.5562481100599	15.4627425799124	15.7654778600818	15.8420196699815	15.8160952999011	15.6449710300929	0.919210945550019
"sp|Q8BHT7|RGP1_MOUSE"	18.0623581798742	17.9998156398799	17.8602537399509	17.7505312497659	18.3002340601164	18.4139289401447	18.2559253402036	18.2204249700247	0.913986631564855
"sp|Q8C180|FRS2_MOUSE"	13.9413181303251	13.9514462003374	13.8253835900302	14.0063440498554	14.1742150301131	14.4546262100402	14.2753852797876	14.4340287403191	0.912518307128792
"sp|Q9JIY0|PKHO1_MOUSE"	15.0363263000035	14.9382130198753	14.9379311898125	14.8375120699571	15.2592499101726	15.2676555400123	15.2290026599536	15.0903252498766	0.903485054922379
"sp|Q6NS52|DGKB_MOUSE"	18.1251170198577	18.3228800598502	18.2382446698014	18.1219583098278	18.5117151700746	18.4795513499216	18.3842104001848	18.4095537601294	0.901058049369187
"sp|Q810P3|CDKN3_MOUSE"	13.9098775497825	13.8782266902327	14.06855289973	13.9998802603243	14.5409811799992	14.4383774002101	14.180206989774	14.5530799999683	0.895799239916637
"sp|Q8R3J4|MTEF3_MOUSE"	15.5309769800896	15.6494149898717	15.5725959499929	15.6703436698714	15.7449723699797	15.9656882099208	15.8865163999697	15.9769561299137	0.887176741767935
"sp|Q9D0K1|PEX13_MOUSE"	14.7689647701783	14.9001084298123	14.9136871497816	14.972627610205	15.0515273299741	15.1764631899518	15.0690485401246	15.1871167499532	0.870093836845023
"tr|A2AFK4|A2AFK4_MOUSE"	14.1996646996672	14.1175254896797	14.2861285703573	14.279002179971	14.3700177098658	14.5375157801109	14.5274561199418	14.3902949802397	0.848104533560326
"sp|Q5SRX1|TM1L2_MOUSE"	14.3457108202173	14.2295302400409	14.4378245797094	14.3126329501303	14.620214229783	14.5357902498206	14.4985528496993	14.4876589101001	0.844970444895662
"sp|Q8VC85|LSM1_MOUSE"	15.08147917017	14.9911673798909	14.8554439900119	14.8080538499792	15.1926459698854	15.4109961101563	15.0874357200193	15.0922957597975	0.793523230577227
