cluster	X.GN.	X.Pr0B_0h1.	X.ProB_0h2.	X.Pr0B_1h1.	X.Pr0B_1h2.	X.Pr0B_4h1.	X.Pr0B_4h2.	X.Pr0B_16h1.	X.Pr0B_16h2.
1	"tr|E9QMK9|E9QMK9_MOUSE"	16.378023539918	16.4230694700261	16.3954685200297	16.4020998699683	16.3681730700274	16.3658859099498	16.1342016900615	16.0892497099493
1	"tr|E9Q7Y4|E9Q7Y4_MOUSE"	16.739620969846	16.7846984195521	16.6248048695517	16.7876648403975	16.8182663998584	16.7132941000669	16.325439779958	16.397480430044
1	"sp|Q64343|ABCG1_MOUSE"	16.976628460407	16.8398543700859	16.9824823796609	16.9042630699769	17.0870377003062	17.106409169502	16.6862030199928	16.6887023906689
1	"sp|Q8BYZ1|ABI3_MOUSE"	17.3627329402389	17.3429870197035	17.3788274203799	17.3527817401683	17.3221856401603	17.384372000251	17.1024281200335	17.0592979096655
1	"sp|Q7TPR4|ACTN1_MOUSE"	23.6548484103589	23.7439993304012	23.7303987003778	23.789261870337	23.6639728895056	23.6181437202895	23.3258271206198	23.2944480397545
1	"sp|O88990|ACTN3_MOUSE"	22.1343659200401	22.1954506099993	22.3075339701211	22.3720777398849	22.1416578498601	22.0660604598897	22.0315296400566	22.0056730499595
1	"sp|Q8CHC8|ADNP2_MOUSE"	16.5634181699325	16.5599839800556	16.6058569199768	16.72151628965	16.4133610999688	16.5000678400491	16.4361424000239	16.3185188299588
1	"sp|Q9D517|PLCC_MOUSE"	16.1714863499193	16.199252870076	16.211848770045	16.2555692400627	16.1353171199178	16.2708064099472	15.9490933599385	15.9230852499959
1	"sp|Q641K1|CBPC1_MOUSE"	13.6068710497839	13.823350749876	13.8252452101252	13.8977752004149	13.7863530101121	13.6951647099239	13.4223367495372	13.5184382597331
1	"tr|E9Q616|E9Q616_MOUSE"	19.0430225401285	19.2156346200368	19.1033723501185	19.1579149000193	19.1080402301129	18.9215545300215	18.4907769100143	18.5245958300059
1	"tr|E9PVP1|E9PVP1_MOUSE"	18.6592171700531	18.5725819199624	18.8610334699036	18.7938526901372	18.7136227101295	18.708633139998	18.4062131098411	18.4712130100398
1	"sp|Q8VC28|AK1CD_MOUSE"	16.4620781300614	16.446866670061	16.4956636599374	16.4468479000077	16.2990961599222	16.3791428699581	16.0463265900361	16.0905502200678
1	"sp|Q8R0Y6|AL1L1_MOUSE"	15.8331980800087	15.8735415199807	15.733127240113	15.8204185000749	15.804934100087	15.7911160500733	15.5722242300053	15.4997954600623
1	"sp|Q80VQ0|AL3B1_MOUSE"	17.2017392497244	17.2622584398635	17.2647720100565	17.2791935896905	17.0963534997503	17.2064899902131	16.9492979501095	16.7489403803003
1	"sp|Q9EQ20|MMSA_MOUSE"	16.0209870200166	15.9627472000863	15.9313800099179	15.851729839997	16.0613764099305	15.9287095899997	15.6814676899242	15.5466515099236
1	"sp|P39654|LOX15_MOUSE"	17.4174354799589	17.5438729902126	17.6228809498671	17.4649276601201	17.2949458498907	17.2437192897309	16.7118324301535	16.6281767499219
1	"sp|P30355|AL5AP_MOUSE"	17.9889561899241	18.1027969698688	18.0626567399341	17.9818931001164	17.8514635700468	18.0786834002237	17.2509152504332	17.4496069699205
1	"sp|Q9JJW6|ALRF2_MOUSE"	19.3890316699288	19.1873868499309	19.3577683600056	19.2019662699421	19.2755057300929	19.24057253997	18.9632103900344	18.9563553300389
1	"sp|Q9DBA8|HUTI_MOUSE"	15.0504916401037	15.0105110900443	15.1377629400189	15.1446629798534	14.9490845599139	14.950075590198	14.7285155397491	14.6752144601899
1	"sp|O08739|AMPD3_MOUSE"	15.8574131000881	15.9035902399572	15.9130045400518	15.8516472799615	15.7575860100515	15.7253368199697	15.4845914099085	15.4714605800774
1	"sp|Q02357|ANK1_MOUSE"	16.121613859918	16.1185219400334	16.2308557099419	16.2107708600595	16.1517868899133	16.1874249100232	15.758762319958	15.5956728498589
1	"tr|D3Z5M4|D3Z5M4_MOUSE"	16.121613859918	16.1185219400334	16.2308557099419	16.2107708600595	16.1517868899133	16.1874249100232	15.758762319958	15.5956728498589
1	"sp|P10107|ANXA1_MOUSE"	21.866379249932	21.9418848501093	21.9131846899914	21.9382882499437	21.7963404799163	21.9771898399532	21.4042264897445	21.4626680697949
1	"sp|P07356|ANXA2_MOUSE"	19.3687389300275	19.2779183099997	19.3773660901027	19.1562412399838	19.2304670600142	19.171371220025	18.6570010800413	18.4311900798015
1	"sp|O35639|ANXA3_MOUSE"	18.2074715102341	18.2647088502078	18.2151500197998	18.1814856401289	18.1921288002193	18.0737292999222	17.6818944398089	17.5463434102743
1	"sp|P48036|ANXA5_MOUSE"	20.5480442302856	20.5689855598303	20.5198912101009	20.5095295703366	20.4344461700845	20.4250560903563	20.0406734397813	19.9826850104897
1	"sp|Q8VBT6|APOBR_MOUSE"	14.9904036598919	14.959448250005	14.9898901801033	14.9914939799499	14.8077152499194	14.7437250701159	14.2545501498788	14.259359420155
1	"tr|B1AUY3|B1AUY3_MOUSE"	17.8389523299877	17.7939263199678	17.819937949923	17.8645638097974	17.7497388500464	17.7034751401459	17.5097477200761	17.512335890155
1	"sp|Q6P9R4|ARHGI_MOUSE"	16.0294547400659	16.0033355099836	16.1672024899297	16.0614478399159	16.1572298999553	15.9882456299049	15.8499387099825	15.7355002900131
1	"sp|P50429|ARSB_MOUSE"	18.5216701801828	18.4961177898678	18.5450810099423	18.4485310899865	18.5099134901886	18.3358431798231	17.9659387997338	17.9211791598626
