cluster	X.GN.	X.Pr0B_0h1.	X.ProB_0h2.	X.Pr0B_1h1.	X.Pr0B_1h2.	X.Pr0B_4h1.	X.Pr0B_4h2.	X.Pr0B_16h1.	X.Pr0B_16h2.	MM.blue	MM.brown	MM.green	MM.turquoise	MM.yellow
1	"tr|E9QMK9|E9QMK9_MOUSE"	16.378023539918	16.4230694700261	16.3954685200297	16.4020998699683	16.3681730700274	16.3658859099498	16.1342016900615	16.0892497099493	-0.991164752103999	-0.890982418435054	-0.0788717827578176	0.991376275315564	-0.598548696923436
1	"tr|E9Q7Y4|E9Q7Y4_MOUSE"	16.739620969846	16.7846984195521	16.6248048695517	16.7876648403975	16.8182663998584	16.7132941000669	16.325439779958	16.397480430044	-0.944007761747437	-0.765498488670663	0.0285418199816152	0.905847584446271	-0.436874735699483
1	"sp|Q64343|ABCG1_MOUSE"	16.976628460407	16.8398543700859	16.9824823796609	16.9042630699769	17.0870377003062	17.106409169502	16.6862030199928	16.6887023906689	-0.772041801570564	-0.450465199378493	0.491527844356736	0.769216525045717	-0.0390464881573624
1	"sp|Q8BYZ1|ABI3_MOUSE"	17.3627329402389	17.3429870197035	17.3788274203799	17.3527817401683	17.3221856401603	17.384372000251	17.1024281200335	17.0592979096655	-0.96489604961176	-0.833211600997307	0.0463667844791927	0.982424626115098	-0.513986496959854
1	"sp|Q7TPR4|ACTN1_MOUSE"	23.6548484103589	23.7439993304012	23.7303987003778	23.789261870337	23.6639728895056	23.6181437202895	23.3258271206198	23.2944480397545	-0.973948154307161	-0.91995640696379	-0.148619305610919	0.979196514622401	-0.673801221262649
1	"sp|O88990|ACTN3_MOUSE"	22.1343659200401	22.1954506099993	22.3075339701211	22.3720777398849	22.1416578498601	22.0660604598897	22.0315296400566	22.0056730499595	-0.701603683179743	-0.823797725569552	-0.338449367186061	0.744417813948422	-0.790022188358943
1	"sp|Q8CHC8|ADNP2_MOUSE"	16.5634181699325	16.5599839800556	16.6058569199768	16.72151628965	16.4133610999688	16.5000678400491	16.4361424000239	16.3185188299588	-0.701071362167186	-0.852304903178628	-0.347315654441894	0.772434541915483	-0.820976347507127
1	"sp|Q9D517|PLCC_MOUSE"	16.1714863499193	16.199252870076	16.211848770045	16.2555692400627	16.1353171199178	16.2708064099472	15.9490933599385	15.9230852499959	-0.915926944200588	-0.80124925348941	0.0931144004338205	0.947202674678183	-0.489975605617609
1	"sp|Q641K1|CBPC1_MOUSE"	13.6068710497839	13.823350749876	13.8252452101252	13.8977752004149	13.7863530101121	13.6951647099239	13.4223367495372	13.5184382597331	-0.853722964268791	-0.78356692082765	-0.0595439835852186	0.847096919277421	-0.543999568721886
1	"tr|E9Q616|E9Q616_MOUSE"	19.0430225401285	19.2156346200368	19.1033723501185	19.1579149000193	19.1080402301129	18.9215545300215	18.4907769100143	18.5245958300059	-0.981393738116727	-0.90770081610347	-0.184610033863008	0.961382523042336	-0.649008023752745
1	"tr|E9PVP1|E9PVP1_MOUSE"	18.6592171700531	18.5725819199624	18.8610334699036	18.7938526901372	18.7136227101295	18.708633139998	18.4062131098411	18.4712130100398	-0.802016438799667	-0.701068328799987	0.131426700895984	0.843497697698888	-0.458582164791432
1	"sp|Q8VC28|AK1CD_MOUSE"	16.4620781300614	16.446866670061	16.4956636599374	16.4468479000077	16.2990961599222	16.3791428699581	16.0463265900361	16.0905502200678	-0.950677788652161	-0.950052016329805	-0.240777304198163	0.972538193098179	-0.730765415400524
1	"sp|Q8R0Y6|AL1L1_MOUSE"	15.8331980800087	15.8735415199807	15.733127240113	15.8204185000749	15.804934100087	15.7911160500733	15.5722242300053	15.4997954600623	-0.952739428435604	-0.832020801587203	-0.083152905314895	0.933251277958175	-0.53833250340647
1	"sp|Q80VQ0|AL3B1_MOUSE"	17.2017392497244	17.2622584398635	17.2647720100565	17.2791935896905	17.0963534997503	17.2064899902131	16.9492979501095	16.7489403803003	-0.913183463476337	-0.887124895678363	-0.129266969482324	0.948903902313152	-0.660752538004749
1	"sp|Q9EQ20|MMSA_MOUSE"	16.0209870200166	15.9627472000863	15.9313800099179	15.851729839997	16.0613764099305	15.9287095899997	15.6814676899242	15.5466515099236	-0.905060215385976	-0.696465303420889	0.0686075397822647	0.875144891920368	-0.364572856373332
1	"sp|P39654|LOX15_MOUSE"	17.4174354799589	17.5438729902126	17.6228809498671	17.4649276601201	17.2949458498907	17.2437192897309	16.7118324301535	16.6281767499219	-0.968483300862329	-0.94785489494596	-0.235607846633736	0.978865393681506	-0.722268417160861
1	"sp|P30355|AL5AP_MOUSE"	17.9889561899241	18.1027969698688	18.0626567399341	17.9818931001164	17.8514635700468	18.0786834002237	17.2509152504332	17.4496069699205	-0.949275865243109	-0.854645477243638	-0.05865160712495	0.952627143418817	-0.544893138734371
1	"sp|Q9JJW6|ALRF2_MOUSE"	19.3890316699288	19.1873868499309	19.3577683600056	19.2019662699421	19.2755057300929	19.24057253997	18.9632103900344	18.9563553300389	-0.892738721375113	-0.782998008206891	-0.044691380912026	0.903007154901	-0.522480652673914
1	"sp|Q9DBA8|HUTI_MOUSE"	15.0504916401037	15.0105110900443	15.1377629400189	15.1446629798534	14.9490845599139	14.950075590198	14.7285155397491	14.6752144601899	-0.918797585933688	-0.937494256450245	-0.221451537060308	0.95622214676904	-0.764317405359332
1	"sp|O08739|AMPD3_MOUSE"	15.8574131000881	15.9035902399572	15.9130045400518	15.8516472799615	15.7575860100515	15.7253368199697	15.4845914099085	15.4714605800774	-0.964571007595138	-0.970349972825261	-0.312577601486108	0.970600676782938	-0.767278683610963
