X.GN.	X.Pr0B_0h1.	X.ProB_0h2.	X.Pr0B_1h1.	X.Pr0B_1h2.	X.Pr0B_4h1.	X.Pr0B_4h2.	X.Pr0B_16h1.	X.Pr0B_16h2.	a
"sp|Q9JKL4|NDUF3_MOUSE"	15.4278554899411	15.3845011799192	15.4660115998574	15.4838072200524	15.6606111700087	15.7847753399567	15.562884770099	15.4951855801095	0.991757416824629
"tr|Q9JIC0|Q9JIC0_MOUSE"	14.8908418099844	14.8306827501149	15.0356904099998	15.031399770051	15.161245839973	15.3140786301577	15.0746614698719	15.0303298599634	0.9759386344083
"sp|Q80V24|VGLL4_MOUSE"	15.4693805098551	15.1103235800823	15.6082769200081	15.6490635800894	16.4760912900663	17.0638583399602	16.3046159699262	15.8585613000836	0.970770853978544
"sp|Q9D5R2|WDR20_MOUSE"	14.3398622799334	14.2600479398004	14.5357583002906	14.7202090397861	14.9674636102061	15.069050999984	14.6513589001377	14.5911240100462	0.968487069438277
"sp|Q64685|SIAT1_MOUSE"	15.9771766000068	15.8462105699363	15.936885429911	15.9277140799387	16.2350473799143	16.344884700028	16.0380534600329	15.9868242899722	0.95937941889261
"tr|D3YYD8|D3YYD8_MOUSE"	18.7547069400433	18.6890263601289	18.9085142600608	18.8696661300971	19.0094205100173	19.2765423100013	18.8793429599049	18.876562019889	0.956100073831718
"sp|P97432|NBR1_MOUSE"	14.5922107699782	14.467659620205	14.6958158400231	14.5964835297258	14.9375072600934	15.0430478298871	14.856132879986	14.6732692402183	0.955032510029699
"sp|Q9D1Q4|DPM3_MOUSE"	17.1440268499363	17.1188833601186	17.3042672404408	17.1167942102353	17.6188443999628	17.7903764901915	17.4593371700285	17.3069419297242	0.953236206267359
"sp|Q3U3D7|T131L_MOUSE"	16.5685526299814	16.6404827005791	16.6291145495966	16.6948949397461	17.2391985303445	17.2934999196002	16.9034304599684	16.9022274301962	0.951458068431117
"sp|Q8BFY7|FA64A_MOUSE"	14.9678950099648	14.8672339000046	14.9933931801658	15.1189576098612	15.2145389700747	15.3790887900237	15.1323751801489	15.1430992299978	0.949430561422836
"sp|P30306|MPIP2_MOUSE"	14.9295616899797	15.0841343798792	15.1405472798972	15.1182567399723	15.3597698099944	15.4012987199525	15.1508238800068	15.0993889001598	0.928764579157835
"sp|Q60634|FLOT2_MOUSE"	16.6141014699259	16.6363820997306	16.6457227998131	16.6292755402071	16.8512118597911	16.9684508103416	16.7435538803399	16.5940787599574	0.922769310584297
"sp|Q8R3Q2|PP6R2_MOUSE"	14.2695585702814	14.2148340599399	14.2774373901853	14.2042914001095	14.4873748397514	14.6163165902375	14.2378365401511	14.2290778203362	0.893508417413078
"sp|Q8K4Q7|CERK1_MOUSE"	16.3681660699375	16.4500446600725	16.3863058599495	16.4962696699974	16.7569471901517	16.7943698497572	16.4126873199889	16.4250972700351	0.888010352800653
"sp|Q3U108|ARI5A_MOUSE"	17.9522023497455	17.8220939497962	18.0598185800672	18.0159919997784	18.1756852700724	18.1944281498414	17.9756694601644	17.9051845502074	0.876277494962362
"sp|Q69ZB8-2|ZCHC2_MOUSE"	14.7155074799152	14.7384566002204	14.8978524298653	14.8335422798474	15.0248884801686	15.0102792099076	14.914951369927	14.9768144200311	0.860258916739826
"tr|Q3UWE6|Q3UWE6_MOUSE"	15.0334288099908	14.9143990399863	15.0978569398799	15.1481560899326	15.2736145401137	15.2519483601138	15.1535558498101	15.2145141701095	0.858895809835866
"sp|Q99KR6|RNF34_MOUSE"	14.1341691897026	14.2647583699987	14.4499352002254	14.4861238797964	14.4932984302975	14.6556651097979	14.4535198696917	14.3815516699192	0.849445570903782
"sp|Q3ZT31|SNX25_MOUSE"	16.4741307400598	16.476636610004	16.3551827500411	16.4074421400003	16.6459357693875	16.7668794501689	16.4840363500603	16.525139109978	0.829237753449944
"tr|D3Z3H0|D3Z3H0_MOUSE"	15.1119985201986	15.0263357801087	15.1730526698203	15.3127510701152	15.370364409979	15.3373184299327	15.2418607000749	15.310325169983	0.807853991651312
"sp|Q80U16|FA65B_MOUSE"	18.3840500901909	18.4181129199022	18.3888057198836	18.3956278901054	18.7543782100835	18.693362530168	18.3022453501019	18.3419810101334	0.781030633660802
"sp|Q9WUK6|ZBT18_MOUSE"	15.9440523299129	15.9210005999992	16.0359623000059	16.0572944099094	16.1444876700239	16.2440946800792	15.9568004099808	15.8069582499222	0.772847236911161
"sp|P54751|SIA4A_MOUSE"	13.7032059497557	13.5999530699969	13.8478383095934	13.7526141801144	13.8390328802334	14.0871461702417	13.563592090143	13.5655222699432	0.716535666951752
